provinsi,kab_kota,kecamatan,desa_kelurahan,tps,suara_A,suara_B,suara_C,suara_sah
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,PANGGUNG KIDUL,3374021007007,,,,
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,PANGGUNG KIDUL,3374021007008,13.0,96.0,68.0,177.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,PANGGUNG KIDUL,3374021007009,8.0,119.0,80.0,207.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,PANGGUNG KIDUL,3374021007010,,,,
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,PANGGUNG KIDUL,3374021007011,,,,
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,PANGGUNG KIDUL,3374021007012,,,,
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,PANGGUNG KIDUL,3374021007013,16.0,120.0,94.0,230.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,PANGGUNG KIDUL,3374021007014,,,,
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,PANGGUNG KIDUL,3374021007015,,,,
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,PANGGUNG KIDUL,3374021007016,,,,
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,PANGGUNG KIDUL,3374021007017,7.0,61.0,130.0,198.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,PANGGUNG LOR,3374021006001,14.0,98.0,120.0,232.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,PANGGUNG LOR,3374021006002,,,,
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,PANGGUNG LOR,3374021006003,1.0,79.0,142.0,222.0
